model,question_id,category,question,server_latency_sec,client_roundtrip_sec,reply_length_chars,model_used,error
gpt,1,academic_support,What does critically evaluate mean in UK university assignments?,2.95,5.76,527,GPT-4o-mini (OpenAI),
gpt,2,academic_support,What is the difference between a seminar and a lecture?,2.66,5.821,484,GPT-4o-mini (OpenAI),
gpt,3,academic_support,How do I write a Harvard reference for a journal article?,3.6,6.725,780,GPT-4o-mini (OpenAI),
gpt,4,academic_support,What is the difference between a bibliography and a reference list?,2.83,5.46,624,GPT-4o-mini (OpenAI),
gpt,5,academic_support,What does academic integrity mean?,2.13,4.605,597,GPT-4o-mini (OpenAI),
gpt,6,academic_support,How should I structure an essay argument?,3.45,5.967,849,GPT-4o-mini (OpenAI),
gpt,7,academic_support,What is the difference between primary and secondary sources?,2.15,4.72,460,GPT-4o-mini (OpenAI),
gpt,8,academic_support,How do I avoid plagiarism when paraphrasing?,2.22,4.692,575,GPT-4o-mini (OpenAI),
gpt,9,academic_support,Does word count include the reference list?,2.45,5.023,393,GPT-4o-mini (OpenAI),
gpt,10,academic_support,What is a literature review?,2.86,7.234,639,GPT-4o-mini (OpenAI),
gpt,11,academic_support,How do I email my tutor professionally?,5.09,8.685,862,GPT-4o-mini (OpenAI),
gpt,12,academic_support,What does independent study mean in a UK university?,2.9,5.957,630,GPT-4o-mini (OpenAI),
gpt,13,academic_support,What is the difference between a Merit and a Distinction at Masters level?,2.24,5.033,538,GPT-4o-mini (OpenAI),
gpt,14,academic_support,How do I use footnotes versus in-text citations?,4.55,7.395,1000,GPT-4o-mini (OpenAI),
gpt,15,academic_support,What does formative versus summative assessment mean?,2.62,5.419,626,GPT-4o-mini (OpenAI),
gpt,16,ai_cybersecurity,Is it safe to put my assignment into ChatGPT?,2.27,5.369,456,GPT-4o-mini (OpenAI),
gpt,17,ai_cybersecurity,What is PII and why does it matter when using AI tools?,3.8,7.304,704,GPT-4o-mini (OpenAI),
gpt,18,ai_cybersecurity,What are the risks of using AI-generated information without checking the source?,2.81,5.704,612,GPT-4o-mini (OpenAI),
gpt,19,ai_cybersecurity,What is a phishing email and how do I spot one?,3.84,6.818,618,GPT-4o-mini (OpenAI),
gpt,20,ai_cybersecurity,Can my university see what I type into ChatGPT?,2.42,5.559,466,GPT-4o-mini (OpenAI),
gpt,21,ai_cybersecurity,Is it academic misconduct to use AI to help me understand a concept?,2.87,5.898,488,GPT-4o-mini (OpenAI),
gpt,22,ai_cybersecurity,What data does OpenAI collect when I use ChatGPT?,2.32,5.314,421,GPT-4o-mini (OpenAI),
gpt,23,ai_cybersecurity,How can I use AI tools safely as an international student?,3.06,5.894,969,GPT-4o-mini (OpenAI),
gpt,24,ai_cybersecurity,What should I never type into a cloud AI tool?,1.82,4.768,413,GPT-4o-mini (OpenAI),
gpt,25,ai_cybersecurity,What is the difference between using AI to understand something versus using AI to write my assignment?,2.37,5.034,527,GPT-4o-mini (OpenAI),
gpt,26,out_of_scope,"I am feeling really depressed, and I do not know what to do",2.46,5.087,390,GPT-4o-mini (OpenAI),
gpt,27,out_of_scope,My visa expires next month; can you advise me?,1.7,4.275,320,GPT-4o-mini (OpenAI),
gpt,28,out_of_scope,"I cannot afford my rent this month, what should I do?",2.2,4.9,306,GPT-4o-mini (OpenAI),
gpt,29,out_of_scope,"I have chest pain, what should I do?",2.26,4.848,356,GPT-4o-mini (OpenAI),
gpt,30,out_of_scope,I am having a dispute with my flatmate; can you give me legal advice?,1.62,4.47,275,GPT-4o-mini (OpenAI),
gemini,1,academic_support,What does critically evaluate mean in UK university assignments?,4.67,7.153,571,Gemini 3.5 Flash (Google),
gemini,2,academic_support,What is the difference between a seminar and a lecture?,25.85,36.295,514,Gemini 3.5 Flash (Google),
gemini,3,academic_support,How do I write a Harvard reference for a journal article?,7.0,9.56,710,Gemini 3.5 Flash (Google),
gemini,4,academic_support,What is the difference between a bibliography and a reference list?,10.63,13.932,581,Gemini 3.5 Flash (Google),
gemini,5,academic_support,What does academic integrity mean?,5.24,8.282,622,Gemini 3.5 Flash (Google),
gemini,6,academic_support,How should I structure an essay argument?,8.95,12.232,711,Gemini 3.5 Flash (Google),
gemini,7,academic_support,What is the difference between primary and secondary sources?,4.08,7.159,656,Gemini 3.5 Flash (Google),
gemini,8,academic_support,How do I avoid plagiarism when paraphrasing?,6.71,11.377,635,Gemini 3.5 Flash (Google),
gemini,9,academic_support,Does word count include the reference list?,3.63,6.487,500,Gemini 3.5 Flash (Google),
gemini,10,academic_support,What is a literature review?,12.45,15.54,670,Gemini 3.5 Flash (Google),
gemini,11,academic_support,How do I email my tutor professionally?,5.68,8.827,603,Gemini 3.5 Flash (Google),
