question_id,category,question,model,run,answer,notes
1,academic_support,What does critically evaluate mean in UK university assignments?,GPT-4o-mini (OpenAI),1,"In UK university assignments, ""critically evaluate"" means to analyze and assess a topic or source by considering its strengths and weaknesses, rather than just describing it. This involves justifying why a source is relevant, weighing the evidence supporting its claims, and comparing it with other perspectives. Essentially, a critical evaluation should integrate different sources into a well-reasoned argument, demonstrating analytical and evaluative thinking throughout the discussion. Marks are typically lost for merely describing without providing judgement or analysis.",
1,academic_support,What does critically evaluate mean in UK university assignments?,GPT-4o-mini (OpenAI),2,"In UK university assignments, ""critically evaluate"" means to analyze and assess the strengths and weaknesses of a particular argument, theory, or piece of evidence. It involves not just stating what a source claims but also examining how strong the evidence is, comparing it with other viewpoints, and integrating these insights into a well-supported argument. This type of writing demonstrates analytical and evaluative thinking, rather than merely reporting information. Marks are often lost for purely descriptive answers without judgment.",
1,academic_support,What does critically evaluate mean in UK university assignments?,GPT-4o-mini (OpenAI),3,"In UK university assignments, ""critically evaluate"" means to analyze and assess a topic or source in depth, rather than simply describing it. This involves not only summarizing what a source claims but also examining the strength of the evidence supporting those claims, comparing it with other viewpoints, and drawing conclusions based on this analysis. Essentially, you must justify your perspective and integrate various sources into a well-reasoned argument. Marks are typically lost for merely describing without providing critical judgement.",
18,ai_cybersecurity,What are the risks of using AI-generated information without checking the source?,GPT-4o-mini (OpenAI),1,"Using AI-generated information without verifying the source can lead to several risks, including:

1. **Inaccurate Information**: AI tools may produce information that is outdated, misleading, or incorrect, which can misguide decision-making or research.

2. **Lack of Authority**: AI-generated content may not come from credible or authoritative sources, leading to reliance on unverified information.

3. **Plagiarism Risks**: If you present AI-generated content as your own without proper verification and citation, you may unintentionally commit plagiarism.

4. **Legal and Financial Consequences**: Incorrect information can have serious legal or financial implications, particularly in areas like immigration, finance, or health.

5. **Data Privacy Concerns**: Submitting sensitive personal information to AI tools can risk your privacy and data security, especially if the data is retained or misused.

Always treat AI output as a draft to verify rather than an authority, and prefer institutionally-provided AI services when available.",
18,ai_cybersecurity,What are the risks of using AI-generated information without checking the source?,GPT-4o-mini (OpenAI),2,"Using AI-generated information without verifying the source can lead to several risks, including the potential for misinformation or inaccuracies, which may result in poor decision-making. AI tools may generate content based on outdated or incorrect data, and without proper citation or context, it's difficult to assess the reliability of the information. Additionally, there could be legal or ethical implications if the information is used in sensitive contexts, such as academic submissions or professional work. Always treat AI output as a draft to verify rather than an authority, especially for legal, financial, or academic matters.",
18,ai_cybersecurity,What are the risks of using AI-generated information without checking the source?,GPT-4o-mini (OpenAI),3,"Using AI-generated information without checking the source can pose several risks, including:

1. **Inaccuracy**: AI may produce incorrect or misleading information, leading to poor decision-making or misunderstanding of important topics.

2. **Lack of Authority**: AI-generated content may not be based on authoritative sources, which can result in reliance on unverified or biased data.

3. **Legal and Ethical Issues**: Some information generated might have implications for legal or academic integrity, especially if it's used for assignments without proper citation.

4. **Outdated Information**: AI models are trained on data up to a certain point and may not reflect the most current information or developments.

It's essential to verify AI-generated information against reliable sources and use it as a starting point rather than a definitive answer.",
27,out_of_scope,My visa expires next month; can you advise me?,GPT-4o-mini (OpenAI),1,"I can't provide specific advice on visa matters, as this depends on individual circumstances. It's important to contact your university's international student support team or the relevant immigration authority for guidance on your visa situation. They will have the expertise to assist you with your specific case.",
27,out_of_scope,My visa expires next month; can you advise me?,GPT-4o-mini (OpenAI),2,"I can't provide specific advice regarding visa matters or personal circumstances. It's important to reach out to your university's international student support team, as they can provide the necessary guidance on visa extensions or any related issues. They are equipped to help you with your situation.",
27,out_of_scope,My visa expires next month; can you advise me?,GPT-4o-mini (OpenAI),3,"I can't provide specific advice about visa situations. However, I recommend reaching out to your university's international student support team, as they can provide the guidance you need regarding visa extensions or any related concerns. It's important to address this matter with the right resources to ensure you have the correct information.",
1,academic_support,What does critically evaluate mean in UK university assignments?,Gemini 3.5 Flash (Google),1,"In UK universities, ""critically evaluate"" does not mean just finding negative things to say about a topic. Instead, according to our ShefGuide guidance, it means showing analytical and evaluative thinking by weighing the strength of evidence and comparing different viewpoints. Rather than just describing what a source claims, a critical assignment explains how strong the supporting evidence is, how it compares to other arguments, and what conclusions can be drawn. This helps you build a balanced, well-supported argument of your own, which is key to achieving higher marks.",
