question_id,category,question,model,answer,sources_used,score_0_5,notes
1,academic_support,What does critically evaluate mean in UK university assignments?,GPT-4o-mini (OpenAI),"In UK university assignments, to ""critically evaluate"" means to demonstrate analytical and evaluative thinking rather than simply providing a description. This involves assessing the relevance and strength of the sources, weighing the evidence for claims, and comparing different viewpoints. A critical evaluation should not just report what each source states but also analyze the arguments, critique the evidence, and discuss the implications of the findings. Marks are typically lost for merely describing without offering judgement or analysis.",ShefGuide guidance: UK academic writing and assessment; ShefGuide guidance: UK academic culture and study expectations,,
2,academic_support,What is the difference between a seminar and a lecture?,GPT-4o-mini (OpenAI),"The main difference between a seminar and a lecture lies in their format and level of interaction. A lecture is a large-group session led by a lecturer, where students primarily take notes and listen, typically involving less interaction. In contrast, a seminar is smaller, usually consisting of around 8 to 20 students, and is much more interactive, focusing on discussion and debate. Students are expected to prepare in advance and actively participate in the seminar.",ShefGuide guidance: UK academic culture and study expectations,,
3,academic_support,How do I write a Harvard reference for a journal article?,GPT-4o-mini (OpenAI),"To write a Harvard reference for a journal article, you typically follow this format:

**Author(s) Surname, Initial(s). (Year) 'Title of article', *Title of Journal*, Volume number(Issue number), Page range. DOI or URL (if applicable).**

For example:
Smith, J. (2020) 'Exploring academic writing', *Journal of Education Studies*, 15(2), pp. 123-135. https://doi.org/10.1234/jes.2020.5678

Make sure to check your university's specific Harvard referencing guide, as there may be slight variations in formatting.",ShefGuide guidance: Referencing and citation,,
4,academic_support,What is the difference between a bibliography and a reference list?,GPT-4o-mini (OpenAI),"A bibliography and a reference list are both ways to credit sources, but they serve different purposes. A reference list includes only the sources that you directly cited in your work, providing specific details about those sources. In contrast, a bibliography lists all sources you consulted during your research, whether or not they were cited in your text. The format for each may vary depending on the referencing style you are using, such as Harvard or APA.",,,
5,academic_support,What does academic integrity mean?,GPT-4o-mini (OpenAI),"Academic integrity refers to the ethical code and moral principles that guide the behavior of students and educators in an academic setting. It involves being honest and responsible in your work, which includes avoiding plagiarism, cheating, and any form of dishonesty. Upholding academic integrity means giving proper credit for others' ideas and work, maintaining transparency in your research, and adhering to the guidelines set by your institution. It's essential for fostering trust and credibility within the academic community.",,,
6,academic_support,How should I structure an essay argument?,GPT-4o-mini (OpenAI),"A common way to structure an essay argument is through the ""hourglass model,"" which consists of three main parts:

1. **Introduction (the funnel):** Start with a broad statement to engage the reader, then narrow down to a clear thesis or mission statement that outlines your main argument.

2. **Body (the stem):** Each paragraph should focus on a specific point that supports your thesis. Begin with a topic sentence, provide supporting evidence, and include a linking sentence to transition smoothly to the next paragraph.

3. **Conclusion (the base):** Revisit your thesis and summarize how your argument has been developed throughout the essay. Finally, broaden out to discuss the wider implications or any remaining gaps in the discussion.

This structure helps ensure a logical flow and clarity in your argument.",ShefGuide guidance: UK academic writing and assessment,,
7,academic_support,What is the difference between primary and secondary sources?,GPT-4o-mini (OpenAI),"Primary sources are original materials created at the time an event occurred or were produced by individuals directly involved in the event. Examples include diaries, interviews, original research, and official documents. Secondary sources, on the other hand, interpret, analyze, or summarize primary sources. These include books, articles, and documentaries that discuss or critique the original material. When conducting research, it’s important to understand both types of sources to support your arguments effectively.",,,
8,academic_support,How do I avoid plagiarism when paraphrasing?,GPT-4o-mini (OpenAI),"To avoid plagiarism when paraphrasing, ensure that you put the idea from the source into your own words and structure while demonstrating a clear understanding of the material. Avoid simply changing a few words or phrases; instead, rephrase the concept comprehensively. Always cite the original source, even when paraphrasing, to give credit to the author. Familiarize yourself with your institution's specific guidelines on paraphrasing and referencing, as these can vary. Lastly, consider using plagiarism detection tools to check your work before submission.",ShefGuide guidance: Referencing and citation; ShefGuide guidance: Academic integrity and the use of AI tools,,
9,academic_support,Does word count include the reference list?,GPT-4o-mini (OpenAI),"In UK higher education, the word count typically does not include the reference list, unless stated otherwise in the assignment guidelines. It’s always best to check the specific requirements provided by your university or lecturer, as they may have specific rules regarding what is included in the word count. If you're unsure, you can also consult your academic department or support services for clarification.",,,
10,academic_support,What is a literature review?,GPT-4o-mini (OpenAI),"A literature review is a comprehensive survey of existing research and literature on a particular topic or research question. It involves summarizing, analyzing, and synthesizing previous studies, theories, and findings to provide a context for your own research. The purpose of a literature review is to identify gaps in the current knowledge, highlight trends, and establish a framework for your own research. It is typically organized thematically or chronologically and is often included in academic papers, theses, or dissertations.",,,
11,academic_support,How do I email my tutor professionally?,GPT-4o-mini (OpenAI),"To email your tutor professionally, follow these steps:

1. **Use a clear subject line**: Include your course name and a brief description of your inquiry, e.g., ""Question About Assignment 2 - [Your Name].""

2. **Start with a polite greeting**: Use ""Dear [Tutor's Name],"" or ""Hello [Tutor's Name],"".

3. **Introduce yourself**: Briefly mention your full name and the course you are in, especially if the tutor teaches multiple classes.

4. **State your purpose**: Clearly explain the reason for your email, whether it's a question about the assignment, clarification on a topic, or scheduling a meeting.

5. **Be concise and respectful**: Keep your message brief and to the point, and maintain a polite tone throughout.

6. **End with a thank you**: A simple ""Thank you for your time,"" followed by a closing such as ""Best regards,"" or ""Sincerely,"" and then your name will suffice.

Remember to proofread your email for any errors before sending it.",ShefGuide guidance: UK academic culture and study expectations,,
12,academic_support,What does independent study mean in a UK university?,GPT-4o-mini (OpenAI),"Independent study in a UK university refers to the significant portion of learning that takes place outside of scheduled class time. While students attend lectures and seminars, a large share of their academic work is expected to be done independently. This includes reading, researching, completing assignments, and preparing for exams. Many students find this approach different from systems with more directed teaching, as it emphasizes self-directed learning and critical thinking skills. It's important to engage actively with reading lists and seek clarification from tutors when needed.",ShefGuide guidance: UK academic culture and study expectations; ShefGuide guidance: UK academic writing and assessment,,
13,academic_support,What is the difference between a Merit and a Distinction at Masters level?,GPT-4o-mini (OpenAI),"At the Master's level in the UK, the grading system typically includes Pass, Merit, and Distinction. A Merit usually indicates that a student has achieved a high standard of work, often reflected by a grade range of 60-69%. A Distinction, on the other hand, signifies exceptional performance, generally requiring a grade of 70% or above. Each university may have slight variations in their specific grading criteria, so it's always a good idea to check your institution's guidelines for precise details.",,,
14,academic_support,How do I use footnotes versus in-text citations?,GPT-4o-mini (OpenAI),"In UK academia, the choice between footnotes and in-text citations typically depends on the referencing style required by your institution or department. 

1. **In-text citations** are used within the body of your text to provide brief information about the source, usually including the author's surname and the year of publication (for styles like Harvard or APA). For example, you might write: ""According to Smith (2020)...""

2. **Footnotes**, on the other hand, are usually used for additional comments, explanations, or references that are not essential to the main text but provide useful context. They can be numbered consecutively throughout your document, with corresponding notes at the bottom of the page.

Always check your specific style guide for more details on how to format and when to use each method. If you're unsure, consult your course materials or speak with your tutor.",ShefGuide guidance: Referencing and citation,,
15,academic_support,What does formative versus summative assessment mean?,GPT-4o-mini (OpenAI),"Formative assessment refers to evaluations that are conducted during the learning process to monitor student progress and provide ongoing feedback. These assessments help students identify their strengths and weaknesses and improve their learning before the final evaluation. Examples include quizzes, drafts, and class participation.

Summative assessment, on the other hand, occurs at the end of a learning period to evaluate student learning against a standard or benchmark. This type of assessment typically results in a grade or score, such as final exams, essays, or projects. Both types of assessment are important in the academic process, serving different purposes in supporting student learning.",,,
16,ai_cybersecurity,Is it safe to put my assignment into ChatGPT?,GPT-4o-mini (OpenAI),"It's generally not safe to input your assignment into ChatGPT or similar AI tools, especially if it contains sensitive personal data or is for assessed work. Using AI to generate content can lead to academic misconduct if you submit it as your own. Instead, consider using AI to help you understand concepts or generate ideas, but always verify and develop your own work. For specific guidance on academic integrity and using AI tools, consult your university's policies.",ShefGuide guidance: Academic integrity and the use of AI tools; ShefGuide guidance: Data safety when using AI tools,,
17,ai_cybersecurity,What is PII and why does it matter when using AI tools?,GPT-4o-mini (OpenAI),"PII stands for Personally Identifiable Information, which refers to any data that can be used to identify an individual, such as names, addresses, passport numbers, or financial details. It matters when using AI tools because submitting PII can lead to privacy risks, such as unauthorized access or misuse of personal data. This is particularly important for international students, who may share sensitive information inadvertently. It's essential to avoid sending PII to AI tools and to use institutionally provided services when possible, as these typically have stronger data protection measures in place.",ShefGuide guidance: Data safety when using AI tools,,
18,ai_cybersecurity,What are the risks of using AI-generated information without checking the source?,GPT-4o-mini (OpenAI),"Using AI-generated information without checking the source can pose several risks, including:

1. **Inaccuracy**: AI tools can produce incorrect or outdated information, which may lead to misunderstandings or poor decision-making.
2. **Lack of Authority**: AI-generated content may not be based on authoritative or peer-reviewed sources, reducing its reliability.
3. **Legal and Financial Consequences**: Incorrect information, especially related to legal, financial, or immigration matters, can result in serious repercussions.
4. **Plagiarism**: Relying on AI content without proper citation can lead to academic integrity issues, as it may not be original.

Always verify AI output against trusted sources and use it as a starting point rather than a definitive answer.",ShefGuide guidance: Data safety when using AI tools,,
19,ai_cybersecurity,What is a phishing email and how do I spot one?,GPT-4o-mini (OpenAI),"A phishing email is a fraudulent message intended to trick recipients into revealing personal information, such as passwords, credit card numbers, or other sensitive data. To spot a phishing email, look for signs such as poor spelling and grammar, generic greetings (like ""Dear Customer""), suspicious links, and urgent or threatening language encouraging immediate action. Always verify the sender's email address and avoid clicking on links or downloading attachments from unknown sources. If you receive a suspicious email, it's best to report it to your university's IT department or cybersecurity team for further guidance.",,,
20,ai_cybersecurity,Can my university see what I type into ChatGPT?,GPT-4o-mini (OpenAI),"Your university cannot directly see what you type into ChatGPT or any other AI tool. However, it's important to be cautious about sharing sensitive personal information, as general-purpose AI tools may retain and process your input. Always check the privacy policy of the AI service you're using to understand how your data might be handled. For academic inquiries, it's best to use your university's official support services.",ShefGuide guidance: Data safety when using AI tools; ShefGuide guidance: Academic integrity and the use of AI tools,,
21,ai_cybersecurity,Is it academic misconduct to use AI to help me understand a concept?,GPT-4o-mini (OpenAI),"No, using AI to help you understand a concept generally falls under the category of support rather than production. It is acceptable to ask AI tools to explain terms or clarify ideas as part of your learning process. However, you should avoid using AI to produce content for your assignments or assessments, as that could be considered academic misconduct. Always check your specific module's guidelines for any rules regarding the use of AI tools.",ShefGuide guidance: Academic integrity and the use of AI tools,,
22,ai_cybersecurity,What data does OpenAI collect when I use ChatGPT?,GPT-4o-mini (OpenAI),"OpenAI collects data to improve its services, but specific details about what is collected can vary based on the product and account type. Generally, it may include information like usage data, interactions, and feedback. For the most accurate and detailed information, it's best to refer to OpenAI's official privacy policy, which outlines their data collection practices and how they handle user data.",ShefGuide guidance: Data safety when using AI tools,,
23,ai_cybersecurity,How can I use AI tools safely as an international student?,GPT-4o-mini (OpenAI),"To use AI tools safely as an international student, follow these guidelines:

1. **Avoid Sharing Sensitive Information**: Do not input personal data such as passport numbers, visa details, financial statements, or any identifiable information when using general-purpose AI tools. Instead, remove identifying details before submitting queries.

2. **Use Institutional Tools if Available**: Prefer AI services provided by your university, as they are typically designed with data protection agreements that restrict how submitted content is handled.

3. **Verify AI Output**: Treat the information generated by AI as a draft or starting point rather than a definitive answer. Always double-check the output, especially for matters related to legal, financial, or immigration issues.

4. **Consult Official Support Services**: For matters involving immigration, finances, or well-being, rely on your university's support services rather than AI tools.

By following these practices, you can enhance your safety and protect your personal information while using AI tools.",ShefGuide guidance: Data safety when using AI tools; ShefGuide guidance: Academic integrity and the use of AI tools,,
24,ai_cybersecurity,What should I never type into a cloud AI tool?,GPT-4o-mini (OpenAI),"You should avoid typing sensitive personal information into a cloud AI tool. This includes details like your passport and visa numbers, student ID numbers, National Insurance numbers, bank details, home addresses, and dates of birth. It's best to remove any identifying details before submitting text to ensure your privacy and data security. Always use your university's support services for sensitive matters regarding immigration, financial, or medical issues.",ShefGuide guidance: Data safety when using AI tools,,
25,ai_cybersecurity,What is the difference between using AI to understand something versus using AI to write my assignment?,GPT-4o-mini (OpenAI),"The key difference lies in the purpose and outcome of the interaction. Using AI to understand a concept or task—such as asking it to explain what ""critically evaluate"" means or to clarify an unfamiliar topic—is considered supportive and acceptable. However, using AI to actually write your assignment or a section of it for submission crosses into the territory of misconduct, as it involves producing assessed output rather than enhancing your understanding. It's important to engage with AI as a learning tool, while ensuring that the work you submit is your own.",ShefGuide guidance: Academic integrity and the use of AI tools,,
26,out_of_scope,"I am feeling really depressed, and I do not know what to do",GPT-4o-mini (OpenAI),"I'm sorry to hear that you're feeling this way. It's really important to talk to someone who can help you, like a mental health professional. I recommend reaching out to your university's Student Services or the counseling service, as they can provide the support you need. Remember, you don’t have to go through this alone.",,,
27,out_of_scope,My visa expires next month; can you advise me?,GPT-4o-mini (OpenAI),"I understand that visa matters can be stressful, but it's important to consult the right resources for your situation. I recommend reaching out to your university's international student support team, as they can provide specific guidance on visa extensions or any other immigration-related concerns. They are equipped to help you navigate this process correctly.",,,
28,out_of_scope,"I cannot afford my rent this month, what should I do?",GPT-4o-mini (OpenAI),"I'm sorry to hear that you're facing financial difficulties. It's important to seek advice from the right people who can help you with your situation. I recommend reaching out to your university's student services or the students' union advice centre, as they can provide guidance on financial support options, budgeting, and any assistance available for students in need.",,,
29,out_of_scope,"I have chest pain, what should I do?",GPT-4o-mini (OpenAI),"I'm sorry to hear you're experiencing chest pain. It's important to seek immediate medical attention in such cases. Please contact a GP or visit the nearest hospital to get the right help. If you're at university, you can also reach out to your university's health services for guidance.",,,
30,out_of_scope,I am having a dispute with my flatmate; can you give me legal advice?,GPT-4o-mini (OpenAI),"I'm not able to provide legal advice, but I recommend reaching out to your university's student union advice centre. They can offer guidance on how to handle disputes with flatmates and inform you of your rights and responsibilities as a tenant. It's important to approach the right resources for support in these situations.",,,
1,academic_support,What does critically evaluate mean in UK university assignments?,Gemini 3.5 Flash (Google),"In UK higher education, ""critically evaluate"" does not mean to criticise something negatively, but rather to show analytical and evaluative thinking. According to ShefGuide guidance, this involves justifying why a source is relevant, weighing the strength of its evidence, and comparing different viewpoints instead of just repeating them. While a descriptive answer simply reports what a source claims, a critical answer evaluates how strong that claim is and what the implications are. Ultimately, you are marked on how well you justify your academic judgements rather than having a specific ""right"" opinion.",ShefGuide guidance: UK academic writing and assessment; ShefGuide guidance: UK academic culture and study expectations,,
2,academic_support,What is the difference between a seminar and a lecture?,Gemini 3.5 Flash (Google),"According to ShefGuide guidance, a lecture is a large-group session led by a lecturer where the focus is on listening and taking notes, with relatively little interaction. In contrast, a seminar is a much smaller group (typically 8 to 20 students) that is highly interactive and built around group discussion and debate. While lectures introduce you to core concepts, seminars require you to prepare in advance so you can actively contribute your thoughts and ideas. Please don't worry about speaking perfectly in seminars; sharing your initial thoughts and participating is a highly valued part of UK academic culture!",ShefGuide guidance: UK academic culture and study expectations,,
3,academic_support,How do I write a Harvard reference for a journal article?,Gemini 3.5 Flash (Google),"To reference a journal article in the Harvard style, you will need both an in-text citation and a full entry in your bibliography at the end of your paper. For the in-text citation, you simply use the author's surname and the publication year, such as (Smith, 2020). In your reference list, the entry generally follows this format: 

> Author Surname, Initials. (Year) 'Title of the article', *Title of the Journal*, Volume(Issue), pp. page numbers. 

According to ShefGuide guidance, the most widely adopted version of Harvard in the UK is *Cite Them Right*, but you should always check your own department's library guide because punctuation and italicisation can vary between institutions.",ShefGuide guidance: Referencing and citation,,
4,academic_support,What is the difference between a bibliography and a reference list?,Gemini 3.5 Flash (Google),"Hello! A reference list only includes the sources (like books, articles, or websites) that you have actually cited directly in the text of your assignment. A bibliography, on the other hand, is broader; it includes all the sources you cited, plus any background reading you did to help you understand the topic, even if you didn't quote or paraphrase them. In UK universities, tutors most commonly ask for a reference list, but it is always best to check your specific module handbook to see exactly what your department requires.",,,
5,academic_support,What does academic integrity mean?,Gemini 3.5 Flash (Google),"Welcome to UK academic culture! According to ShefGuide guidance, academic integrity is a positive commitment to approaching your studies in a way that is honest, fair, respectful, and responsible. In practice, this means producing your own work, properly acknowledging other people's ideas through correct referencing, and avoiding academic offences like plagiarism or fabricating data. It also involves using digital tools, including generative AI, ethically and in line with your specific university and module guidelines. If you ever want to practice referencing or discuss how to plan an assignment honestly, I am here to help!",ShefGuide guidance: Academic integrity and the use of AI tools,,
6,academic_support,How should I structure an essay argument?,Gemini 3.5 Flash (Google),"According to the ShefGuide guidance, a highly effective way to structure an academic essay is by using the ""hourglass model."" 

* **Introduction (the funnel):** Start broad to grab the reader's attention, then narrow down to a single-sentence ""mission statement"" or thesis that clearly states your central argument.
* **Body (the stem):** Keep a narrow, deep focus where each paragraph contains a topic sentence, supporting evidence, and a linking sentence that carries your argument logically into the next point.
* **Conclusion (the base):** Revisit your mission statement to show how you have proven it, then broaden back out to the wider implications or remaining gaps in the topic. 

While this is a widely-used framework in UK higher education, always check your specific department's guidelines, as they will take precedence.",ShefGuide guidance: UK academic writing and assessment,,
7,academic_support,What is the difference between primary and secondary sources?,Gemini 3.5 Flash (Google),"Primary sources are direct, firsthand evidence or original materials created at the time of an event, such as historical documents, raw research data, interviews, or diaries. Secondary sources, on the other hand, are one step removed; they analyze, interpret, evaluate, or discuss those original primary sources. For example, if you are writing an essay, a novelist's original book is your primary source, while a scholar's journal article analyzing that book is a secondary source. In UK academic writing, you will usually use a mix of both to build a strong, critically analyzed argument.",,,
8,academic_support,How do I avoid plagiarism when paraphrasing?,Gemini 3.5 Flash (Google),"To avoid plagiarism when paraphrasing, you must rewrite the author's ideas entirely in your own words and sentence structure, rather than just swapping out a few words. According to the ShefGuide guidance, simply ""changing the odd word"" while keeping the original structure is known as ""patchwriting,"" which UK universities treat as a form of plagiarism even if you include a citation. 

The best approach is to read the source until you fully understand it, close the document, and then write the concept down in your own way before adding your in-text citation. Finally, remember that under UK academic standards, even accidental referencing errors can be treated as an academic offence, so taking time to check your paraphrasing is always worth the effort!",ShefGuide guidance: Referencing and citation; ShefGuide guidance: Academic integrity and the use of AI tools,,
9,academic_support,Does word count include the reference list?,Gemini 3.5 Flash (Google),"Generally, in UK universities, the reference list or bibliography at the end of your assignment is **not** included in the final word count. However, rules can sometimes vary on whether in-text citations (such as author names and years) are counted. The best place to double-check this is in your specific module handbook or assignment guidelines. If you are still unsure, you can quickly ask your module tutor or your university's academic writing support team for clarification.",,,
10,academic_support,What is a literature review?,Gemini 3.5 Flash (Google),"A literature review is a critical evaluation of the existing research, books, and academic articles on a specific topic. Instead of just summarizing each source one by one, your goal is to group them together to show where researchers agree, disagree, or where there are gaps in the current knowledge. In UK higher education, this is a key way to demonstrate your critical thinking skills and prove that you understand the academic background of your subject. I would be happy to help you plan a structure or outline for your own literature review if you need some guidance on how to get started!",,,
11,academic_support,How do I email my tutor professionally?,Gemini 3.5 Flash (Google),"To email your tutor professionally, start with a clear subject line that includes your full name, student ID, and the relevant module code. Begin with a polite greeting, such as ""Dear Dr [Surname]"" (or their first name if they have invited you to use it, as UK academic culture is often friendly yet respectful). Keep your message concise and clear about what you need, and sign off with a professional closing like ""Best regards"" or ""Kind regards."" Tutors receive many emails, so they will really appreciate you getting straight to the point while remaining polite!",ShefGuide guidance: UK academic culture and study expectations,,
12,academic_support,What does independent study mean in a UK university?,Gemini 3.5 Flash (Google),"According to ShefGuide's guidance on UK academic culture, independent study means that a large share of your learning takes place outside of your scheduled classes. Your timetabled contact hours are only a small fraction of your total study workload, meaning you are responsible for managing your own time for reading, research, and assignments. Reading lists provided by your tutors are often just a starting point, so you are expected to actively seek out additional sources to build your arguments. While this self-directed approach is often the biggest adjustment for international students, it is a key part of developing your critical thinking and academic independence.",ShefGuide guidance: UK academic culture and study expectations; ShefGuide guidance: UK academic writing and assessment,,
13,academic_support,What is the difference between a Merit and a Distinction at Masters level?,Gemini 3.5 Flash (Google),"In the UK, postgraduate Masters degrees are usually graded as Pass, Merit, or Distinction, which reflect your overall performance across all modules and your dissertation. A **Merit** indicates very good, high-quality academic work and is typically awarded for an overall average grade between 60% and 69%. A **Distinction** is the highest possible grade category, representing outstanding, exceptional work, and usually requires an overall average of 70% or above. Because exact grade boundaries and specific rules (such as needing a certain grade in your final dissertation) can vary between institutions, it is always best to check your specific university’s course handbook.",,,
